Маркитантова Н, 424 группа
Домашнее задание 2 -- Отчет
Текст: Ф.Достоевский "Преступление и наказание", несколько глав.
Анализатор: pymorphy2
шёлковый 5
кафтан 5
зарницыной 5
начинаться 5
чебаров 5
неуклюжий 5
увлечение 5
густой 5
содержимый 5
главное 5
готовиться 5
известие 5
помещаться 5
сем 5
материальный 5
задержать 5
настасьюшка 5
дощечка 5
рада 5
спускать 5
подлость 5
нанимать 5
представиться 5
мечтать 5
драться 5
погубить 5
чегонибудь 5
остановить 5
отрывисто 5
панель 5
капитал 5
горячий 5
мошенник 5
горло 5
благодарить 5
похороны 5
избить 5
утром 5
присутствие 5
коридор 5
стук 5
одежда 5
весёлый 5
приготовить 5
деловитость 5
хрустальный 5
суметь 5
шататься 5
поспешно 5
неприятный 5
мираж 5
материя 5
улыбаться 5
вопросительно 5
прибыть 5
поди 5
госпожа 5
вырвать 5
успокоить 5
оттуда 5
настойчиво 5
доставлять 5
грубо 5
починковый 5
гадкий 5
сознание 5
пространство 5
ангел 5
язык 5
такса 5
явный 5
стальной 5
нанять 5
обыкновение 5
спасти 5
перстень 5
родственник 5
прочить 5
свобода 5
рассчитать 5
пожать 5
получать 5
относиться 5
удержаться 5
неприятно 5
промелькнуть 5
оглобля 5
недалеко 5
усмешка 5
висеть 5
невольно 5
протестовать 5
отводить 5
голубой 5
вновь 5
лидочка 5
особенность 5
отлично 5
презрительный 5
фатер 5
выскочить 5
обойтись 5
распять 5
коготь 5
село 5
ругательство 5
очевидный 5
благодетельствовать 5
жертва 5
картина 5
двенадцать 5
козель 5
склониться 5
называть 5
света 5
обругать 5
одуматься 5
разглядывать 5
перила 5
торговать 5
вотвота 5
превосходный 5
хохот 5
гадко 5
беспрерывно 5
пестряков 5
медный 5
щёлочка 5
точный 5
здравствовать 5
остальной 5
дочка 5
отчётливо 5
билетик 5
пуща 5
одеться 5
отвести 5
оглядывать 5
одной 5
обязанность 5
лихорадочный 5
несчастие 5
локоть 5
разбудить 5
поджидать 5
ехать 5
дворницкий 5
осторожность 5
плотно 5
приличный 5
бесконечный 5
нитка 5
поднимать 5
пошло 5
иметься 5
попросить 5
й 5
переходить 5
силой 5
губка 5
шинель 5
торчать 5
снисходительный 5
труд 5
вечный 5
когдато 5
спрятать 5
возлюбить 5
выбросить 5
производить 5
дикий 5
вздыхать 5
робкий 5
придерживать 5
неотразимый 5
поль 5
исполнение 5
выдумать 5
сложить 5
жалко 5
казнить 5
шляться 5
франт 5
свидетель 5
клясться 5
забытьё 5
вызывающий 5
откуда 5
бесценный 5
перемена 5
уверенный 5
захар 5
законфузиться 5
пара 5
миллион 5
книга 5
дрыхнуть 5
опуститься 5
темнота 5
одеваться 5
постоялый 5
слегка 5
осматриваться 5
тьфу 5
вовторое 5
кусочек 5
освещать 4
чиновница 4
долгий 4
ободрить 4
незнакомец 4
мужской 4
выиграть 4
выслать 4
переносить 4
приходиться 4
сшить 4
понятие 4
сохранять 4
суета 4
приводить 4
вопль 4
везде 4
задача 4
посторонний 4
восстановить 4
десятка 4
отъявленный 4
невозможность 4
сын 4
лишек 4
переступить 4
такомтый 4
сама 4
каналья 4
исключительно 4
сегодняшний 4
приостановиться 4
упомянуть 4
размер 4
послушаться 4
захохотать 4
низко 4
убираться 4
изучить 4
терзать 4
постепенно 4
отвратительный 4
превосходительство 4
солидный 4
ааа 4
забывать 4
столица 4
коленка 4
легко 4
закладывать 4
дунечка 4
залить 4
толковый 4
недоверчивый 4
наяву 4
следователь 4
ограбить 4
разодетый 4
злиться 4
немножко 4
выдать 4
лом 4
така 4
скандал 4
стиснуть 4
мыслия 4
негодование 4
обвинить 4
